Actor1Code,Actor1Name,Actor1Type1Code,Actor1CountryCode,Actor2Code,Actor2Name,Actor2Type1Code,Actor2CountryCode,YearMin,YearMax,EventCode,consolidatedAvgTone,eventCount
USAGOVBUS,UNITED STATES,GOV,USA," USABUS",UNITED STATES,BUS,USA,2013,2013,115,0.3061224489795925,1
THAGOV,THAI,GOV,THA,MNCJPNBUS,MITSUBISHI,MNC,JPN,2010,2010,051,1.666666666666666,1
MNGGOV,MONGOLIA,GOV,MNG,CHNGOVBUS,CHEN DEMING,GOV,CHN,2010,2010,057,3.156565656565657,2
PHLGOVBUS,ANGELO REYES,GOV,PHL,PHLGOVBUSELI,ANGELO REYES,GOV,PHL,2010,2010,112,0.7148692810457511,1
FJIGOV,FIJI,GOV,FJI," FJIGOVBUS",FIJI,GOV,FJI,2013,2013,051,0.526315789473684,1
RUSGOV,BORIS YELTSIN,GOV,RUS,ITABUS,ITALY,BUS,ITA,1998,1998,051,5.68720379146919,1
AFRGOV,AFRICA,GOV,AFR,FRAGOVBUS,CHRISTINE LAGARDE,GOV,FRA,2011,2011,051,3.2919293755207075,3
GBRGOV,LONDON,GOV,GBR,CHNBUS,CHINESE,BUS,CHN,2015,2015,051,0.048379701309763344,2
COKGOV,FRED GOODWIN,GOV,COK,EURBUS,EUROPE,BUS,EUR,2015,2015,111,-0.412621359223301,1
USAGOV,HOUSTON,GOV,USA,USABUS,HOUSTON,BUS,USA,2014,2014,110,0.2582159624413142,1
USAGOV,DENVER,GOV,USA,DEUBUS,GERMAN,BUS,DEU,2014,2014,051,0.8314436885865456,1
USAGOV,OBAMA,GOV,USA,USABUS,PENNSYLVANIA,BUS,USA,2012,2012,110,3.205128205128205,1
SDNGOV,SUDAN,GOV,SDN,CHNBUS,CHINESE,BUS,CHN,2014,2014,112,0.03987240829346091,1
ZWEGOV,MORGAN TSVANGIRAI,GOV,ZWE,ZWEGOVBUS,WELSHMAN NCUBE,GOV,ZWE,2012,2012,051,0.5797101449275359,1
SAUGOV,ABDULLAH,GOV,SAU,MARBUS,MOROCCO,BUS,MAR,2009,2009,051,0.221979742274945,1
JPNGOV,JAPAN,GOV,JPN,JPNGOVBUS,AKIRA AMARI,GOV,JPN,2007,2007,050,1.2122002863071584,1
VNMGOV,VIETNAMESE,GOV,VNM,USABUS,UNITED STATES,BUS,USA,1991,1991,050,9.32835820895522,1
USAGOV,BUSH ADMINISTRATION,GOV,USA,IGOWAFBUSWAS,ECOWAS,IGO,WAF,1991,1991,051,0.764331210191082,1
RUSGOV,RUSSIAN,GOV,RUS,VNMGOVBUS,VU HUY HOANG,GOV,VNM,2010,2010,057,1.945525291828794,1
CANGOV,JIM FLAHERTY,GOV,CAN,CANGOVBUS,MARK CARNEY,GOV,CAN,2013,2013,111,0.307467057101025,1
KORGOV,SOUTH KOREA,GOV,KOR,JPNBUS,JAPAN,BUS,JPN,2015,2015,051,4.20560747663551,1
MMRGOVDEV,MYANMAR,GOV,MMR,CHNGOVBUS,CITIC GROUP,GOV,CHN,2015,2016,057,-0.015094417002351002,2
SENGOV,SENEGALESE,GOV,SEN,SENBUS,SENEGAL,BUS,SEN,2000,2000,057,1.849148418491484,1
USAGOV,TEXAS,GOV,USA,USABUS,TEXAS,BUS,USA,2011,2011,050,6.17283950617284,1
SYRGOV,SYRIAN,GOV,SYR,UKRBUS,UKRAINIAN,BUS,UKR,2004,2004,051,1.607717041800644,1
PHLGOVBUS,PHILIPPINE,GOV,PHL,PHLBUS,PHILIPPINE,BUS,PHL,1999,1999,110,1.96078431372549,1
IRNGOVBUS,HABIBOLLAH BITARAF,GOV,IRN,LBNGOVBUS,MOHAMMAD ABED AL HAMID BAYDUN,GOV,LBN,2001,2001,050,1.0989010989010985,1
RUSGOVBUS,IGOR SECHIN,GOV,RUS,RUSBUS,RUSSIA,BUS,RUS,2015,2015,111,0.0,1
